TransactionID,Timestamp,SenderUPIID,ReceiverUPIID,Amount,Status,Remarks
TXN001,2025-04-18 12:30:45,sender1@upi,receiver1@upi,500.00,Success,Payment for groceries
TXN002,2025-04-18 13:15:22,sender2@upi,receiver2@upi,1500.00,Success,Rent payment
TXN003,2025-04-18 13:45:10,sender3@upi,receiver3@upi,200.00,Failed,Insufficient balance
TXN004,2025-04-18 14:20:00,sender4@upi,receiver4@upi,750.00,Success,Electricity bill payment
TXN005,2025-04-18 14:50:30,sender5@upi,receiver5@upi,1000.00,Pending,Under process
TXN006,2025-04-18 15:10:15,sender6@upi,receiver6@upi,300.00,Success,Mobile recharge
TXN007,2025-04-18 15:35:50,sender7@upi,receiver7@upi,250.00,Success,Cab fare
TXN008,2025-04-18 15:50:05,sender8@upi,receiver8@upi,450.00,Failed,Network issue
TXN009,2025-04-18 16:05:35,sender9@upi,receiver9@upi,600.00,Success,Dinner payment
TXN010,2025-04-18 16:15:25,sender10@upi,receiver10@upi,800.00,Pending,Awaiting confirmation
